"ID","Name","Age","Nationality","Club","Value","Wage","SprintSpeed","Stamina","Strength","Rep"
1179,"G. Buffon",40,"Italy","Paris Saint-Germain",4e+06,77000,43,39,69,NA
231747,"K. Mbappé",19,"France","Paris Saint-Germain",7.2e+07,83000,96,83,71,3
205600,"S. Umtiti",24,"France","FC Barcelona",5.7e+07,205000,73,78,84,3
201399,"M. Icardi",25,"Argentina","Inter",64500000,130000,78,72,76,3
201024,"K. Koulibaly",27,"Senegal","Napoli",5.1e+07,115000,75,71,94,3
193041,"K. Navas",31,"Costa Rica","Real Madrid",30500000,195000,53,39,75,NA
192505,"R. Lukaku",25,"Belgium","Manchester United",62500000,230000,90,84,94,3
192387,"C. Immobile",28,"Italy","Lazio",5.2e+07,115000,85,75,76,3
189332,"Jordi Alba",29,"Spain","FC Barcelona",3.8e+07,250000,93,91,61,3
175943,"D. Mertens",31,"Belgium","Napoli",4.5e+07,135000,85,75,42,3
172871,"J. Vertonghen",31,"Belgium","Tottenham Hotspur",3.4e+07,155000,65,75,79,3
171877,"M. Hamšík",30,"Slovakia","Napoli",46500000,125000,68,84,67,3
168651,"I. Rakitić",30,"Croatia","FC Barcelona",46500000,260000,59,84,66,4
152729,"Piqué",31,"Spain","FC Barcelona",3.4e+07,240000,60,65,83,4
41,"Iniesta",34,"Spain","Vissel Kobe",24500000,23000,68,55,58,4
222492,"L. Sané",22,"Germany","Manchester City",62500000,195000,96,79,70,2
210257,"Ederson",24,"Brazil","Manchester City",41500000,125000,63,41,68,NA
208722,"S. Mané",26,"Senegal","Liverpool",5.2e+07,195000,93,84,67,3
203376,"V. van Dijk",26,"Netherlands","Liverpool",44500000,165000,75,71,92,3
201942,"Roberto Firmino",26,"Brazil","Liverpool",5.3e+07,195000,77,90,74,3
201942,"Roberto Firmino",26,"Brazil","Liverpool",5.3e+07,195000,77,90,74,3
201535,"R. Varane",25,"France","Real Madrid",51500000,210000,85,73,84,3
199556,"M. Verratti",25,"Italy","Paris Saint-Germain",5.5e+07,135000,62,77,52,3
192366,"N. Otamendi",30,"Argentina","Manchester City",3.3e+07,185000,61,67,80,3
191043,"Alex Sandro",27,"Brazil","Juventus",36500000,160000,86,92,79,3
190483,"Douglas Costa",27,"Brazil","Juventus",46500000,175000,93,78,63,3
189596,"T. Müller",28,"Germany","FC Bayern München",4.6e+07,145000,75,87,68,4
189509,"Thiago",27,"Spain","FC Bayern München",45500000,130000,69,75,59,3
188350,"M. Reus",29,"Germany","Borussia Dortmund",43500000,1e+05,85,71,67,4
184941,"A. Sánchez",29,"Chile","Manchester United",43500000,230000,79,83,72,4
184432,"Azpilicueta",28,"Spain","Chelsea",3.5e+07,175000,76,87,71,3
184344,"L. Bonucci",31,"Italy","Juventus",3e+07,160000,65,71,83,3
183907,"J. Boateng",29,"Germany","FC Bayern München",34500000,125000,76,69,91,4
181458,"I. Perišić",29,"Croatia","Inter",43500000,120000,88,89,78,3
180206,"M. Pjanić",28,"Bosnia Herzegovina","Juventus",4.4e+07,180000,66,77,66,3
177509,"M. Benatia",31,"Morocco","Juventus",3e+07,160000,75,69,91,3
176635,"M. Özil",29,"Germany","Arsenal",43500000,190000,69,69,57,4
135507,"Fernandinho",33,"Brazil","Manchester City",1.8e+07,185000,67,79,76,3
232363,"M. Škriniar",23,"Slovakia","Inter",46500000,82000,73,77,83,1
223848,"S. Milinković-Savić",23,"Serbia","Lazio",50500000,73000,70,85,88,2
220834,"Marco Asensio",22,"Spain","Real Madrid",5.4e+07,215000,82,76,61,3
216594,"N. Fekir",24,"France","Olympique Lyonnais",5e+07,92000,79,80,81,3
212831,"Alisson",25,"Brazil","Liverpool",36500000,115000,45,32,78,NA
212622,"J. Kimmich",23,"Germany","FC Bayern München",40500000,92000,69,85,65,3
209499,"Fabinho",24,"Brazil","Liverpool",42500000,130000,72,93,79,3
208421,"Saúl",23,"Spain","Atlético Madrid",50500000,77000,73,86,77,3
204485,"R. Mahrez",27,"Algeria","Manchester City",40500000,205000,83,76,55,3
202652,"R. Sterling",23,"England","Manchester City",4.9e+07,180000,92,78,52,3
197445,"D. Alaba",26,"Austria","FC Bayern München",3.8e+07,110000,79,87,71,4
193747,"Koke",26,"Spain","Atlético Madrid",4.5e+07,88000,68,90,79,3
192774,"K. Manolas",27,"Greece","Roma",37500000,96000,85,76,82,3
191202,"N. Matić",29,"Serbia","Manchester United",3e+07,180000,59,84,85,3
189513,"Parejo",29,"Spain","Valencia CF",3.7e+07,66000,43,78,72,2
187961,"Paulinho",29,"Brazil","Guangzhou Evergrande Taobao FC",3.7e+07,235000,73,92,81,3
184267,"Y. Brahimi",28,"Algeria","FC Porto",3.9e+07,28000,75,85,49,3
184087,"T. Alderweireld",29,"Belgium","Tottenham Hotspur",3.4e+07,140000,65,74,79,3
181872,"A. Vidal",31,"Chile","FC Barcelona",2.6e+07,205000,55,83,79,4
180930,"E. Džeko",32,"Bosnia Herzegovina","Roma",30500000,115000,66,76,80,3
179846,"S. Khedira",31,"Germany","Juventus",3.3e+07,160000,60,78,87,3
179844,"Diego Costa",29,"Spain","Atlético Madrid",38500000,1e+05,76,76,92,4
178518,"R. Nainggolan",30,"Belgium","Inter",35500000,105000,73,93,77,3
171919,"Naldo",35,"Brazil","FC Schalke 04",9e+06,38000,66,61,83,3
170890,"B. Matuidi",31,"France","Juventus",2.6e+07,145000,77,94,76,3
168609,"Miranda",33,"Brazil","Inter",15500000,96000,69,65,79,3
167397,"Falcao",32,"Colombia","AS Monaco",30500000,125000,66,68,75,3
164169,"Filipe Luís",32,"Brazil","Atlético Madrid",21500000,81000,75,89,74,3
156616,"F. Ribéry",35,"France","FC Bayern München",1.7e+07,87000,78,59,60,4
139720,"V. Kompany",32,"Belgium","Manchester City",2.2e+07,170000,59,66,87,4
120533,"Pepe",35,"Portugal","Beşiktaş JK",9e+06,57000,70,60,86,4
41236,"Z. Ibrahimović",36,"Sweden","LA Galaxy",1.4e+07,15000,59,61,86,5
220793,"D. Sánchez",22,"Colombia","Tottenham Hotspur",35500000,105000,79,76,83,2
218667,"Bernardo Silva",23,"Portugal","Manchester City",42500000,165000,74,78,48,2
216460,"J. Giménez",23,"Uruguay","Atlético Madrid",3.4e+07,63000,70,67,85,2
212462,"Alex Telles",25,"Brazil","FC Porto",3.2e+07,22000,85,92,68,3
212190,"N. Süle",22,"Germany","FC Bayern München",36500000,84000,79,65,94,2
211117,"D. Alli",22,"England","Tottenham Hotspur",42500000,115000,76,90,71,3
207865,"Marquinhos",24,"Brazil","Paris Saint-Germain",35500000,90000,76,75,74,3
207566,"William Carvalho",26,"Portugal","Real Betis",31500000,38000,53,84,90,3
205498,"Jorginho",26,"Italy","Chelsea",3.8e+07,155000,69,79,66,2
204970,"F. Thauvin",25,"France","Olympique de Marseille",3.9e+07,72000,80,83,66,2
204963,"Carvajal",26,"Spain","Real Madrid",31500000,185000,84,84,74,3
204963,"Carvajal",26,"Spain","Real Madrid",31500000,185000,84,84,74,3
200104,"H. Son",25,"Korea Republic","Tottenham Hotspur",3.7e+07,125000,85,85,63,3
199564,"Sergi Roberto",26,"Spain","FC Barcelona",31500000,185000,78,83,69,3
199482,"A. Lopes",27,"Portugal","Olympique Lyonnais",2.5e+07,72000,64,36,73,NA
198329,"Rodrigo",27,"Spain","Valencia CF",36500000,63000,92,78,72,2
198176,"S. de Vrij",26,"Netherlands","Inter",31500000,88000,69,66,80,3
198009,"M. Perin",25,"Italy","Juventus",29500000,105000,56,30,52,NA
194404,"Neto",28,"Brazil","Valencia CF",2.5e+07,45000,49,39,63,NA
193301,"A. Lacazette",27,"France","Arsenal",36500000,165000,83,77,73,3
193082,"J. Cuadrado",30,"Colombia","Juventus",29500000,150000,93,78,61,3
192629,"Iago Aspas",30,"Spain","RC Celta",29500000,45000,78,75,60,2
192563,"B. Leno",26,"Germany","Arsenal",2.7e+07,115000,52,43,68,NA
190941,"L. Hrádecký",28,"Finland","Bayer 04 Leverkusen",2.2e+07,74000,44,34,55,NA
190584,"Illarramendi",28,"Spain","Real Sociedad",3.1e+07,51000,57,77,68,2
188377,"K. Walker",28,"England","Manchester City",24500000,165000,93,89,75,3
186942,"I. Gündoğan",27,"Germany","Manchester City",3.2e+07,175000,68,69,72,3
186153,"W. Szczęsny",28,"Poland","Juventus",2.6e+07,115000,47,45,65,NA
185020,"José Callejón",31,"Spain","Napoli",27500000,105000,89,91,55,3
183898,"A. Di María",30,"Argentina","Paris Saint-Germain",29500000,125000,84,73,60,4
181783,"M. Mandžukić",32,"Croatia","Juventus",2.5e+07,160000,73,83,85,3
180403,"Willian",29,"Brazil","Chelsea",30500000,175000,86,85,60,3
178750,"Sergio Asenjo",29,"Spain","Villarreal CF",2.4e+07,42000,54,41,73,NA
178562,"E. Banega",30,"Argentina","Sevilla FC",2.9e+07,31000,64,67,67,3
177610,"Javi Martínez",29,"Spain","FC Bayern München",2.4e+07,105000,53,74,84,3
177388,"D. Payet",31,"France","Olympique de Marseille",27500000,75000,72,73,72,3
176769,"Jonas",34,"Brazil","SL Benfica",16500000,25000,64,66,63,3
172879,"Sokratis",30,"Greece","Arsenal",2.3e+07,140000,73,69,86,3
167628,"S. Ruffier",31,"France","AS Saint-Étienne",1.9e+07,41000,50,37,76,NA
165153,"K. Benzema",30,"France","Real Madrid",3e+07,225000,76,72,80,4
163587,"K. Schmeichel",31,"Denmark","Leicester City",1.9e+07,78000,60,34,64,NA
162240,"M. Dembélé",30,"Belgium","Tottenham Hotspur",2.9e+07,135000,72,70,90,3
157481,"Raúl Albiol",32,"Spain","Napoli",1.8e+07,88000,53,55,82,3
143076,"A. Gómez",30,"Argentina","Atalanta",3e+07,53000,86,75,48,3
137186,"A. Barzagli",37,"Italy","Juventus",4200000,95000,77,53,83,3
20775,"Quaresma",34,"Portugal","Beşiktaş JK",15500000,80000,82,65,55,3
9014,"A. Robben",34,"Netherlands","FC Bayern München",15500000,110000,76,64,67,4
231443,"O. Dembélé",21,"France","FC Barcelona",4e+07,155000,92,73,46,3
230666,"Gabriel Jesus",21,"Brazil","Manchester City",4.1e+07,130000,85,84,68,2
230481,"Ronaldo Cabrais",26,"Brazil","Grêmio",2.8e+07,51000,87,86,70,1
230375,"Josué Chiamulera",26,"Brazil","Grêmio",22500000,43000,78,76,73,1
230294,"Louri Beretta",26,"Brazil","Atlético Mineiro",28500000,60000,83,56,87,1
225850,"P. Kimpembe",22,"France","Paris Saint-Germain",30500000,82000,78,80,84,2
224411,"Gonçalo Guedes",21,"Portugal","Valencia CF",3.4e+07,39000,90,81,62,1
220971,"N. Keïta",23,"Guinea","Liverpool",3.4e+07,120000,60,82,58,2
219683,"C. Tolisso",23,"France","FC Bayern München",3.4e+07,85000,66,87,77,2
213565,"T. Lemar",22,"France","Atlético Madrid",35500000,64000,84,79,63,3
213345,"K. Coman",22,"France","FC Bayern München",3.4e+07,85000,93,76,61,2
213331,"J. Tah",22,"Germany","Bayer 04 Leverkusen",29500000,67000,77,63,93,2
212523,"Anderson Talisca",24,"Brazil","Guangzhou Evergrande Taobao FC",36500000,18000,76,76,72,2
212218,"A. Laporte",24,"France","Manchester City",29500000,125000,66,67,81,2
212198,"Bruno Fernandes",23,"Portugal","Sporting CP",3.4e+07,20000,77,89,67,2
212188,"T. Werner",22,"Germany","RB Leipzig",34500000,70000,93,83,59,3
211300,"A. Martial",22,"France","Manchester United",35500000,150000,89,75,75,3
210617,"Samu Castillejo",23,"Spain","Milan",3.4e+07,105000,86,55,50,2
210008,"A. Rabiot",23,"France","Paris Saint-Germain",3.3e+07,91000,74,82,80,2
209658,"L. Goretzka",23,"Germany","FC Bayern München",3.4e+07,85000,83,86,70,3
208808,"Q. Promes",26,"Netherlands","Sevilla FC",30500000,28000,91,83,61,2
208670,"H. Ziyech",25,"Morocco","Ajax",32500000,28000,74,86,59,3
208618,"Lucas Vázquez",27,"Spain","Real Madrid",2.7e+07,205000,79,90,57,2
208418,"Y. Carrasco",24,"Belgium","Dalian YiFang FC",3.3e+07,20000,87,74,59,3
208093,"Gerard Moreno",26,"Spain","Villarreal CF",3.2e+07,53000,80,72,74,1
208093,"Gerard Moreno",26,"Spain","Villarreal CF",3.2e+07,53000,80,72,74,1
207863,"Felipe",29,"Brazil","FC Porto",2e+07,22000,67,78,86,3
207410,"M. Kovačić",24,"Croatia","Chelsea",3.5e+07,165000,74,82,65,3
206585,"Kepa",23,"Spain","Chelsea",28500000,84000,33,37,51,NA
206545,"Manu Trigueros",26,"Spain","Villarreal CF",3e+07,49000,65,77,63,2
204935,"J. Pickford",24,"England","Everton",2.5e+07,78000,44,45,70,NA
204639,"S. Savić",27,"Montenegro","Atlético Madrid",2.6e+07,67000,61,58,77,2
202556,"M. Depay",24,"Netherlands","Olympique Lyonnais",3.5e+07,84000,87,79,80,3
202166,"J. Draxler",24,"Germany","Paris Saint-Germain",32500000,91000,77,69,66,3
200888,"Danilo Pereira",26,"Portugal","FC Porto",2.7e+07,21000,68,83,89,3
200724,"Nacho Fernández",28,"Spain","Real Madrid",24500000,180000,79,78,79,2
200316,"T. Horn",25,"Germany","1. FC Köln",2.4e+07,25000,51,31,67,NA
199914,"Allan",27,"Brazil","Napoli",26500000,87000,74,95,77,2
197965,"Pizzi",28,"Portugal","SL Benfica",25500000,22000,73,86,59,3
195093,"Willian José",26,"Brazil","Real Sociedad",32500000,48000,65,73,90,2
193698,"O. Baumann",28,"Germany","TSG 1899 Hoffenheim",2.1e+07,42000,51,39,69,NA
192883,"H. Mkhitaryan",29,"Armenia","Arsenal",25500000,145000,79,83,62,3
192593,"D. Subašić",33,"Croatia","AS Monaco",1.3e+07,70000,54,32,80,NA
190547,"K. Glik",30,"Poland","AS Monaco",1.9e+07,86000,52,67,90,3
189712,"K. Strootman",28,"Netherlands","Olympique de Marseille",25500000,72000,66,79,81,3
189358,"S. Kagawa",29,"Japan","Borussia Dortmund",25500000,77000,60,82,39,3
189068,"B. Dost",29,"Netherlands","Sporting CP",2.6e+07,26000,54,82,92,3
188152,"Oscar",26,"Brazil","Shanghai SIPG FC",30500000,29000,72,76,38,3
186627,"M. Balotelli",27,"Italy","OGC Nice",27500000,55000,82,66,86,4
185221,"Luiz Gustavo",30,"Brazil","Olympique de Marseille",1.9e+07,63000,64,85,81,3
184942,"Giuliano",28,"Brazil","Al Nassr",2.6e+07,64000,79,82,74,2
179944,"David Luiz",31,"Brazil","Chelsea",17500000,130000,62,66,79,4
179783,"R. Fährmann",29,"Germany","FC Schalke 04",2e+07,38000,47,32,79,NA
178088,"Juan Mata",30,"Spain","Manchester United",24500000,160000,62,71,37,3
178086,"Adán",31,"Spain","Atlético Madrid",15500000,55000,54,32,77,NA
178005,"Rui Patrício",30,"Portugal","Wolverhampton Wanderers",16500000,74000,57,45,77,NA
177413,"A. Witsel",29,"Belgium","Borussia Dortmund",2e+07,70000,74,88,82,3
176266,"Lucas Leiva",31,"Brazil","Lazio",17500000,64000,67,80,67,3
168354,"E. Viviano",32,"Italy","Sporting CP",1.5e+07,17000,33,29,58,NA
163705,"S. Mandanda",33,"France","Olympique de Marseille",1.3e+07,51000,43,31,61,NA
162895,"Cesc Fàbregas",31,"Spain","Chelsea",2.2e+07,140000,54,56,61,4
106231,"Aduriz",37,"Spain","Athletic Club de Bilbao",9500000,31000,67,60,85,3
53302,"D. De Rossi",34,"Italy","Roma",8e+06,80000,67,74,81,3
24630,"Pepe Reina",35,"Spain","Milan",6e+06,56000,63,34,72,NA
236583,"J. Pavlenka",26,"Czech Republic","SV Werder Bremen",19500000,30000,37,20,68,NA
231866,"Rodri",22,"Spain","Atlético Madrid",2.9e+07,59000,66,86,75,1
230658,"Arthur",21,"Brazil","FC Barcelona",32500000,125000,70,78,62,1
230621,"G. Donnarumma",19,"Italy","Milan",2.9e+07,23000,54,34,72,NA
230258,"Rosberto Dourado",30,"Brazil","Atlético Mineiro",16500000,46000,81,93,68,1
230225,"Juiano Mestres",34,"Brazil","Cruzeiro",6500000,39000,74,76,79,1
230168,"Raphaelito Anjos",30,"Brazil","Grêmio",1.4e+07,32000,42,29,79,NA
229906,"L. Bailey",20,"Jamaica","Bayer 04 Leverkusen",31500000,58000,92,76,59,1
227055,"Gelson Martins",23,"Portugal","Atlético Madrid",29500000,59000,94,87,48,3
225508,"E. Bailly",24,"Ivory Coast","Manchester United",2.5e+07,115000,79,72,85,2
222737,"Malcom",21,"Brazil","FC Barcelona",31500000,140000,82,74,64,2
221087,"Pau López",23,"Spain","Real Betis",21500000,21000,52,42,52,NA
220814,"L. Hernández",22,"France","Atlético Madrid",2.6e+07,53000,84,82,76,1
220440,"C. Lenglet",23,"France","FC Barcelona",2.6e+07,135000,73,73,80,1
216354,"A. Kramarić",27,"Croatia","TSG 1899 Hoffenheim",2.6e+07,54000,72,76,68,2
216267,"A. Robertson",24,"Scotland","Liverpool",24500000,98000,86,89,66,1
216194,"Dani García",28,"Spain","Athletic Club de Bilbao",2e+07,33000,35,88,75,2
213661,"A. Christensen",22,"Denmark","Chelsea",26500000,98000,70,69,73,2
212404,"F. Bernardeschi",24,"Italy","Juventus",29500000,110000,83,80,63,2
212194,"J. Brandt",22,"Germany","Bayer 04 Leverkusen",30500000,68000,83,73,68,2
211320,"D. Rugani",23,"Italy","Juventus",24500000,95000,67,67,79,2
210413,"A. Romagnoli",23,"Italy","Milan",26500000,84000,69,74,79,2
210413,"A. Romagnoli",23,"Italy","Milan",26500000,84000,69,74,79,2
209989,"T. Partey",25,"Ghana","Atlético Madrid",25500000,59000,76,87,81,1
209297,"Fred",25,"Brazil","Manchester United",26500000,140000,79,87,61,1
208830,"J. Vardy",31,"England","Leicester City",2e+07,96000,91,86,67,3
208596,"A. Belotti",24,"Italy","Torino",3e+07,58000,79,83,84,3
208448,"E. Forsberg",26,"Sweden","RB Leipzig",2.6e+07,67000,70,74,62,2
207494,"J. Lingard",25,"England","Manchester United",26500000,140000,82,87,53,2
207471,"F. Vázquez",29,"Argentina","Sevilla FC",21500000,27000,62,61,79,2
206113,"S. Gnabry",22,"Germany","FC Bayern München",30500000,78000,90,68,68,2
205678,"E. Višća",28,"Bosnia Herzegovina","Medipol Başakşehir FK",22500000,40000,89,84,58,2
203574,"J. Stones",24,"England","Manchester City",24500000,115000,71,79,77,2
203551,"A. Florenzi",27,"Italy","Roma",20500000,73000,84,90,67,3
203263,"H. Maguire",25,"England","Leicester City",22500000,77000,53,68,89,1
202685,"S. Zaza",27,"Italy","Torino",2.6e+07,52000,79,76,88,2
202651,"Suso",24,"Spain","Milan",29500000,105000,77,77,56,3
202371,"T. Meunier",26,"Belgium","Paris Saint-Germain",2.1e+07,87000,81,92,85,2
201995,"Felipe Anderson",25,"Brazil","West Ham United",2.8e+07,98000,89,72,53,3
201455,"G. Kondogbia",25,"Central African Rep.","Valencia CF",27500000,46000,76,85,91,2
201400,"Rafinha",25,"Brazil","FC Barcelona",29500000,165000,70,67,66,2
201305,"Gabriel Paulista",27,"Brazil","Valencia CF",2.1e+07,44000,74,72,82,2
201153,"Morata",25,"Spain","Chelsea",28500000,135000,86,68,78,3
200949,"Lucas Moura",25,"Brazil","Tottenham Hotspur",26500000,105000,90,70,59,3
199845,"F. Acerbi",30,"Italy","Lazio",16500000,59000,55,81,83,2
198951,"C. Bakambu",27,"DR Congo","Beijing Sinobo Guoan FC",2.6e+07,33000,88,79,76,2
198950,"Pablo Sarabia",26,"Spain","Sevilla FC",2.6e+07,26000,76,72,58,2
198717,"W. Zaha",25,"Ivory Coast","Crystal Palace",28500000,78000,92,76,73,2
198706,"Luis Alberto",25,"Spain","Lazio",28500000,67000,72,73,67,2
198164,"Jonathan Viera",28,"Spain","Beijing Sinobo Guoan FC",22500000,31000,76,79,67,2
198141,"Bartra",27,"Spain","Real Betis",2.1e+07,32000,72,67,71,3
197655,"S. Coates",27,"Uruguay","Sporting CP",2.1e+07,19000,64,81,94,3
195365,"K. Kampl",27,"Slovenia","RB Leipzig",2.3e+07,67000,75,88,47,2
193525,"Mário Fernandes",27,"Russia","PFC CSKA Moscow",18500000,1000,85,86,75,2
193474,"I. Gueye",28,"Senegal","Everton",1.8e+07,115000,72,87,70,2
193469,"Víctor Ruiz",29,"Spain","Villarreal CF",19500000,43000,59,72,87,2
192984,"K. Casteels",26,"Belgium","VfL Wolfsburg",19500000,46000,46,44,72,NA
192638,"Marcos Alonso",27,"Spain","Chelsea",20500000,115000,76,90,76,2
192318,"M. Götze",26,"Germany","Borussia Dortmund",2.7e+07,67000,65,74,68,4
192227,"S. Mustafi",26,"Germany","Arsenal",22500000,115000,65,68,78,3
191740,"Ander Herrera",28,"Spain","Manchester United",2.2e+07,150000,68,87,67,3
191180,"J. Pastore",29,"Argentina","Roma",21500000,84000,69,62,64,3
189505,"Pedro",30,"Spain","Chelsea",2.1e+07,140000,74,70,47,3
189125,"G. Bonaventura",28,"Italy","Milan",2.2e+07,115000,77,84,66,3
189117,"R. Bürki",27,"Switzerland","Borussia Dortmund",18500000,50000,54,36,74,NA
188803,"Taison",30,"Brazil","Shakhtar Donetsk",2.1e+07,1000,91,79,62,2
187936,"S. Nzonzi",29,"France","Roma",1.7e+07,77000,55,86,92,2
187754,"Marlos",30,"Ukraine","Shakhtar Donetsk",2.1e+07,1000,82,78,62,2
186561,"A. Ramsey",27,"Wales","Arsenal",2.5e+07,130000,69,89,67,3
186345,"K. Trippier",27,"England","Tottenham Hotspur",18500000,99000,75,88,65,2
185239,"O. Toprak",28,"Turkey","Borussia Dortmund",2e+07,64000,84,67,78,3
185103,"A. Kolarov",32,"Serbia","Roma",12500000,73000,70,84,77,2
184431,"S. Giovinco",31,"Italy","Toronto FC",2e+07,15000,80,77,42,2
184200,"M. Arnautović",29,"Austria","West Ham United",2.2e+07,120000,83,78,84,3
184144,"N. Gaitán",30,"Argentina","Dalian YiFang FC",2.1e+07,22000,79,69,46,3
183711,"J. Henderson",28,"England","Liverpool",1.8e+07,125000,66,91,72,2
183574,"M. Kruse",30,"Germany","SV Werder Bremen",21500000,45000,67,71,72,2
183498,"M. Parolo",33,"Italy","Lazio",9e+06,59000,69,88,77,2
183376,"L. Fejsa",29,"Serbia","SL Benfica",1.7e+07,18000,55,90,78,2
183280,"A. Rami",32,"France","Olympique de Marseille",12500000,57000,67,84,91,3
181786,"V. Ćorluka",32,"Croatia","Lokomotiv Moscow",12500000,1000,65,80,86,3
181291,"G. Wijnaldum",27,"Netherlands","Liverpool",2.5e+07,130000,76,85,72,3
179847,"F. Fazio",31,"Argentina","Roma",1.5e+07,73000,43,74,91,3
179847,"F. Fazio",31,"Argentina","Roma",1.5e+07,73000,43,74,91,3
178509,"O. Giroud",31,"France","Chelsea",2e+07,140000,50,62,88,3
177683,"Y. Sommer",29,"Switzerland","Borussia Mönchengladbach",1.7e+07,32000,54,45,68,NA
177457,"L. Bender",29,"Germany","Bayer 04 Leverkusen",1.7e+07,75000,69,86,76,3
173521,"Marcano",31,"Spain","Roma",1.5e+07,73000,69,78,77,3
172522,"D. Wass",29,"Denmark","Valencia CF",21500000,50000,76,90,70,2
171897,"A. Guardado",31,"Mexico","Real Betis",1.9e+07,35000,73,84,57,3
170481,"E. Garay",31,"Argentina","Valencia CF",1.5e+07,44000,36,62,88,3
168530,"Jardel",32,"Brazil","SL Benfica",12500000,17000,63,68,89,2
168435,"S. Sirigu",31,"Italy","Torino",13500000,45000,51,34,66,NA
165229,"L. Koscielny",32,"France","Arsenal",12500000,115000,66,62,75,3
163489,"A. Consigli",31,"Italy","Sassuolo",13500000,52000,34,31,51,NA
158963,"L. Biglia",32,"Argentina","Milan",12500000,98000,65,75,65,3
146530,"Dani Alves",35,"Brazil","Paris Saint-Germain",4800000,62000,79,74,55,4
113422,"David Villa",36,"Spain","New York City FC",8e+06,12000,67,70,66,3
104389,"R. Jarstein",33,"Norway","Hertha BSC",1.1e+07,30000,46,31,70,NA
48940,"P. Čech",36,"Czech Republic","Arsenal",3e+06,60000,38,32,63,NA
5479,"Casillas",37,"Spain","FC Porto",1500000,10000,57,43,70,NA
235243,"M. de Ligt",18,"Netherlands","Ajax",2.3e+07,10000,72,74,87,2
